"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-23 22:42:08","3201","Amrynn 2-3201-1-1-1608638853.zip","0.66","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Amrynn 2-3201-1-1-1608638853.zip","triage",""
"2026-06-23 22:41:37","3201","The Belles of Beauclair courtisan 2b.-3201-1-1609157348.zip","0.57","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\The Belles of Beauclair courtisan 2b.-3201-1-1609157348.zip","triage",""
"2026-06-23 22:41:17","3201","The Belles of Beauclair courtisan 3b.-3201-1-1609157387.zip","0.58","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\The Belles of Beauclair courtisan 3b.-3201-1-1609157387.zip","triage",""
"2026-06-23 22:41:00","3201","Brothel Addicted Main File 1.2.2-3201-1-2-2-1608562378.zip","12.94","https://www.nexusmods.com/witcher3/mods/3201","C:\Users\marti\Downloads\Brothel Addicted Main File 1.2.2-3201-1-2-2-1608562378.zip","triage",""
"2026-06-23 20:18:25","12230","Environment Overhaul-12230-1-2-1780820299.zip","3334.45","https://www.nexusmods.com/witcher3/mods/12230","C:\Users\marti\Downloads\Environment Overhaul-12230-1-2-1780820299.zip","triage",""
"2026-06-23 19:55:12","12249","Extra Skills Slots Next Gen-12249-1-1779652136.rar","2.72","https://www.nexusmods.com/witcher3/mods/12249","C:\Users\marti\Downloads\Extra Skills Slots Next Gen-12249-1-1779652136.rar","triage",""
"2026-06-23 19:54:22","2183","Naked Geralt - All in One Installer v0.6.7 - for 1.31-2183-0-6-7.zip","120.55","https://www.nexusmods.com/witcher3/mods/2183","C:\Users\marti\Downloads\Naked Geralt - All in One Installer v0.6.7 - for 1.31-2183-0-6-7.zip","triage",""
"2026-06-23 19:52:35","7343","modFriendlyMeditation-7343-0-9-8NGE-1716371869.zip","0.31","https://www.nexusmods.com/witcher3/mods/7343","C:\Users\marti\Downloads\modFriendlyMeditation-7343-0-9-8NGE-1716371869.zip","triage",""
"2026-06-23 19:45:52","9963","The Witcher 3 HD Reworked Project NextGen Edition-9963-20-0-fixed-1736185630.7z","12034.03","https://www.nexusmods.com/witcher3/mods/9963","C:\Users\marti\Downloads\The Witcher 3 HD Reworked Project NextGen Edition-9963-20-0-fixed-1736185630.7z","triage",""
"2026-06-23 19:31:58","9028","BGMv3 mixed Ver 2-9028-2-1713517286.zip","0.01","https://www.nexusmods.com/witcher3/mods/9028","C:\Users\marti\Downloads\BGMv3 mixed Ver 2-9028-2-1713517286.zip","triage",""
"2026-06-23 19:28:21","2686","Beautiful Grass V3-2686-3-0.zip","129.32","https://www.nexusmods.com/witcher3/mods/2686","C:\Users\marti\Downloads\Beautiful Grass V3-2686-3-0.zip","triage",""
"2026-06-23 19:05:20","10551","RT CHAR DX12-10551-0-03-1742682859.rar","10.43","https://www.nexusmods.com/witcher3/mods/10551","C:\Users\marti\Downloads\RT CHAR DX12-10551-0-03-1742682859.rar","triage",""
